pecha id,language,url
I0C9FC28F,en,https://github.com/OpenPecha/I0C9FC28F
I6554420E,de,https://github.com/OpenPecha/I6554420E
IEA4233C0,es,https://github.com/OpenPecha/IEA4233C0
I5FAD7B31,fr,https://github.com/OpenPecha/I5FAD7B31
IE467BB72,it,https://github.com/OpenPecha/IE467BB72
IA802C256,nl,https://github.com/OpenPecha/IA802C256
I585CBEB3,pt,https://github.com/OpenPecha/I585CBEB3
IC2A0233D,zh,https://github.com/OpenPecha/IC2A0233D
ICF402925,bo,https://github.com/OpenPecha/ICF402925
